Category,Keyword,Count,Frequency,Total_jobs
Programming Languages/Software,sql,1081,35.71,3027
Programming Languages/Software,python,982,32.44,3027
Programming Languages/Software,excel,870,28.74,3027
Programming Languages/Software,c++,666,22.0,3027
BI Tools,tableau,574,18.96,3027
BI Tools,power bi,532,17.58,3027
Programming Languages/Software,r,507,16.75,3027
Cloud Computing,aws,299,9.88,3027
Cloud Computing,azure,295,9.75,3027
Programming Languages/Software,go,222,7.33,3027
Programming Languages/Software,java,205,6.77,3027
Big Data Technologies,spark,183,6.05,3027
Collaboration Tools,jira,178,5.88,3027
BI Tools,sap,163,5.38,3027
Cloud Computing,gcp,154,5.09,3027
Data Science Platforms,informatica,153,5.05,3027
Version Control,git,143,4.72,3027
ML and Statistical Modeling,pytorch,132,4.36,3027
ML and Statistical Modeling,tensorflow,131,4.33,3027
DBMS,oracle,128,4.23,3027
Big Data Technologies,snowflake,118,3.9,3027
Development Tools,docker,113,3.73,3027
Programming Languages/Software,scala,104,3.44,3027
Programming Languages/Software,javascript,98,3.24,3027
Cloud Computing,google cloud,98,3.24,3027
Big Data Technologies,bigquery,97,3.2,3027
BI Tools,looker,93,3.07,3027
Containerization/Orchestration,kubernetes,92,3.04,3027
BI Tools,qlik,90,2.97,3027
Data Science Platforms,databricks,84,2.78,3027
ML and Statistical Modeling,scikit-learn,78,2.58,3027
Collaboration Tools,confluence,77,2.54,3027
Big Data Technologies,hadoop,72,2.38,3027
Workflow Management,airflow,69,2.28,3027
Big Data Technologies,kafka,59,1.95,3027
Collaboration Tools,notion,58,1.92,3027
Big Data Technologies,redshift,57,1.88,3027
Version Control,github,53,1.75,3027
DBMS,postgresql,50,1.65,3027
Data Science Platforms,alteryx,48,1.59,3027
Data Science Platforms,dataiku,44,1.45,3027
DBMS,mysql,41,1.35,3027
Programming Languages/Software,typescript,36,1.19,3027
DBMS,mongodb,35,1.16,3027
Data Science Platforms,talend,35,1.16,3027
Big Data Technologies,hive,33,1.09,3027
Programming Languages/Software,matlab,31,1.02,3027
Version Control,gitlab,29,0.96,3027
ML and Statistical Modeling,sagemaker,24,0.79,3027
Programming Languages/Software,bash,22,0.73,3027
Programming Languages/Software,php,22,0.73,3027
Programming Languages/Software,stata,21,0.69,3027
Data Science Platforms,mlflow,20,0.66,3027
BI Tools,metabase,19,0.63,3027
BI Tools,looker studio,19,0.63,3027
Development Tools,jupyter,18,0.59,3027
Programming Languages/Software,swift,18,0.59,3027
ML and Statistical Modeling,xgboost,17,0.56,3027
Programming Languages/Software,sas,14,0.46,3027
Data Visualization Tools,matplotlib,14,0.46,3027
DBMS,microsoft sql server,12,0.4,3027
Data Visualization Tools,seaborn,12,0.4,3027
Workflow Management,kubeflow,10,0.33,3027
ML and Statistical Modeling,vertex ai,10,0.33,3027
Programming Languages/Software,kotlin,8,0.26,3027
Containerization/Orchestration,openshift,8,0.26,3027
Collaboration Tools,slack,8,0.26,3027
DBMS,cassandra,8,0.26,3027
DBMS,redis,8,0.26,3027
BI Tools,superset,7,0.23,3027
Data Science Platforms,knime,7,0.23,3027
Version Control,bitbucket,6,0.2,3027
Programming Languages/Software,rust,6,0.2,3027
DBMS,neo4j,6,0.2,3027
DBMS,db2,6,0.2,3027
Big Data Technologies,flink,6,0.2,3027
Programming Languages/Software,ruby,6,0.2,3027
Collaboration Tools,asana,5,0.17,3027
Data Visualization Tools,plotly,5,0.17,3027
Data Visualization Tools,d3.js,5,0.17,3027
Cloud Computing,oracle cloud,5,0.17,3027
ML and Statistical Modeling,statsmodels,4,0.13,3027
Development Tools,eclipse,4,0.13,3027
ML and Statistical Modeling,lightgbm,4,0.13,3027
Collaboration Tools,trello,4,0.13,3027
Big Data Technologies,hdfs,4,0.13,3027
BI Tools,thoughtspot,4,0.13,3027
DBMS,firebase,4,0.13,3027
ML and Statistical Modeling,keras,3,0.1,3027
Programming Languages/Software,julia,3,0.1,3027
Cloud Computing,ibm cloud,3,0.1,3027
Big Data Technologies,storm,3,0.1,3027
Development Tools,netbeans,3,0.1,3027
Development Tools,rstudio,3,0.1,3027
Development Tools,vscode,2,0.07,3027
Big Data Technologies,apache nifi,2,0.07,3027
Big Data Technologies,spark streaming,1,0.03,3027
DBMS,couchdb,1,0.03,3027
DBMS,couchbase,1,0.03,3027
Cloud Computing,heroku,1,0.03,3027
DBMS,mariadb,1,0.03,3027
ML and Statistical Modeling,catboost,1,0.03,3027
Data Science Platforms,rapidminer,1,0.03,3027
Data Visualization Tools,ggplot2,1,0.03,3027
Data Science Platforms,datarobot,1,0.03,3027
Development Tools,pycharm,1,0.03,3027
Workflow Management,luigi,1,0.03,3027
Workflow Management,prefect,1,0.03,3027
